ID	Number_of_Samples	Data_Type	Target	File_Type	Organism	Cell_line	Genomic_Reference	Title
GSE287916	27	bulk RNAseq		txt	human	multiple	GRCh38	A melanoma mutation panel for individualized treatment of patient-derived melanoma cell cultures
GSE288133	6	bulk RNAseq	HMGB2	tar	human	SKMEL5	GRCh38	Bulk RNA-sequencing of SKMEL5 human melanoma cells expressing nontargeting (NT) gRNA or gRNA targeting HMGB2.
GSE271764	12	bulk RNAseq	COP1 and DET1	tar	human	A375	GRCh38	Inactivation of DET1 causes neurological defects and lethality in mice and humans I
GSE280470	39	NanoString nCounter	Gli2	tar	human	patient samples		Gli2 Facilitates Tumor Immune Evasion and Immunotherapeutic Resistance by Coordinating Wnt Ligand and Prostaglandin Signaling
GSE287090	12	scRNAseq		tar	human	patient samples	GRCh38	Exploration of tumor associated macrophages in patients with metastatic uveal melanoma by single cell RNAseq
GSE288482	3	bulk RNAseq		csv	human	patient samples	hg38	Integration activity of evolutionarily recent human retroelements Alu and LINE in tumors
GSE230489	33	bulk RNAseq		tsv	human	patient samples	GRCh38	RNA-sequencing of cutaneous melanoma and non-small cell lung cancer biopsies
GSE256123	14	ChIPseq	LSD1	tar	human	A375		Lactylation of LSD1 is an acquired epigenetic vulnerability of BRAFi/MEKi-resistant melanoma [ChIP-seq]
GSE285583	6	bulk RNAseq	NELFCD	txt	human	MUM2B	hg38	NELFCD: A Crucial Factor in Uveal Melanoma Cell Proliferation and Tumorigenesis
GSE280739	21	bulk RNAseq		tar	human	multiple	GRCh38	Upregulation of the MBM CTC Signature and CTC:B Cell Clusters Associate with Secondary Liver Metastasis: a Melanoma Brain-Liver Metastasis Axis
GSE277165	20	scRNAseq/scATACseq		10x	human	patient samples	GRCh38	Single-cell transcriptomics and epigenomics point to CD58/CD59-CD2 interactions in controlling primary melanoma growth and immunity
GSE286964	1	Xenium		tar	human	patient		Somatic mutations distinguish melanocyte subpopulations in human skin
GSE246603	22	bulk RNAseq		txt	human	GLO	GRCh38.p13	ZEB1 controls a lineage-specific transcriptional program essential for melanoma cell state transitions
GSE253588	3	10X Visium		tar	human	Sentinel Lymph Node	GRCh38-3.0.0	A Lactate-induced SREBF2-dependent genetic program drives an immunotolerant dendritic cell population during cancer progression
GSE253590	2	scRNAseq		tar	human	Sentinel Lymph Node	GRCh38-3.0.0	A Lactate-induced SREBF2-dependent genetic program drives an immunotolerant dendritic cell population during cancer progression
GSE253593	2	scATACseq		tar	human	Sentinel Lymph Node	GRCh38-3.0.0	A Lactate-induced SREBF2-dependent genetic program drives an immunotolerant dendritic cell population during cancer progression
GSE250636	9	10X Visium		tar	human	Melanoma leptomeningeal metastasis	GRCh38-2020-A	Spatial transcriptomics analysis identifies a unique tumor-promoting function of the meningeal stroma in melanoma leptomeningeal disease.
GSE231936	6	bulk RNAseq	CANT2	tar	human	A375	GRCh38	Prohibitin 2 orchestrates transcription of long noncoding RNA and coding gene to accelerate tumorigenesis
GSE275395	30	bulk RNAseq		tar	human	A375	hg19	Deciphering Pre-existing and Induced 3D Genome Architecture Changes involved in Constricted Melanoma Migration
GSE275396	8	Hi-C		tar	human	A375	hg19	Deciphering Pre-existing and Induced 3D Genome Architecture Changes involved in Constricted Melanoma Migration
GSE245467	42	bulk RNAseq		xlsx	human	patient samples	hg38	Immunogenomics and spatial proteomic mapping highlight distinct neuro-immune architectures in melanoma vs. non-melanoma-derived brain metastasis
GSE268426	2	scRNAseq/snRNAseq		tar	human	patient samples	hg38	snPATHO-seq: unlocking the FFPE archives for single nucleus RNA profiling [snRNA-seq]
GSE255328	43	bulk RNAseq		xlsx	human	patient samples		TNF-α released by melanoma liver metastasis activates AKT and NFKβ1 pathways to promote collagen type I secretion by hepatocytes
GSE271422	3	10X Genomics Visium		tar	human	patient samples	GRCh38-2020-A	spatialGE is a User-Friendly Web Application that Facilitates Spatial Transcriptomics Data Analysis
GSE280936	8	bulk RNAseq		xlsx	human	OMM2.3	hg38	Erianin abrogates vasculogenic mimicry through targeting m5C methylase NSUN2
GSE179373	21	scRNAseq		tar	human	patient samples	GRCh38	Single cell RNA-sequencing of human brain metastasis-infiltrating T cells
GSE179572	1	10X Visium		tar	human	patient samples	GRCh38	Spatial transcriptomics of human brain metastases
GSE158562	28	Pick-Seq		csv	human	patient samples	GRCh38	Spatial transcriptomics of fixed tissue micro-regions using Pick-Seq
GSE200904	341	NanoString nCounter	NF1	xlsx	human	patient samples		NanoString nCounter NF1-mutant melanoma gene expression
GSE200278	16	SlideSeq		tar	human	patient samples	GRCh38	Melanoma Brain Metastasis Atlas
GSE200217	24	bulk RNAseq		tar	human	patient samples	GRCh38	Melanoma Brain Metastasis Atlas
GSE200218	32	scRNAseq/snRNAseq		tar	human	patient samples	GRCh38	Melanoma Brain Metastasis Atlas
GSE205033	24	bulk ATACseq		tar	human	patient samples	GRCh38	Melanoma Brain Metastasis Atlas
GSE207592	25	scRNAseq and bulk RNAseq		tar	human	primary tumor	hg19	A cellular hierarchy in melanoma uncouples growth and metastasis
GSE203612	31	scRNAseq and 10X Visium		tar	human	patient-derived xenograft	hg38, mm10	Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment
GSE216055	2	SlideSeq		csv	human	patient samples	GRCh38	Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications
GSE216069	71	scRNAseq/snRNAseq		csv	human	patient samples	GRCh38	Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications
